"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote"
"XXII","22nd Century Group, Inc",3.3,192234141,"n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii"
"FAX","Aberdeen Asia-Pacific Income Fund Inc",6.11,1630501940.08,"n/a",1986,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/fax"
"IAF","Aberdeen Australia Equity Fund Inc",8.93,203364202.71,"n/a","n/a","FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/iaf"
"CH","Aberdeen Chile Fund, Inc.",11.67,109540419.99,"n/a","n/a","FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/ch"
"ETF","Aberdeen Emerging Markets Smaller Company Opportunities Fund I",13.11,128015636.52,"n/a",1992,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/etf"
"FCO","Aberdeen Global Income Fund, Inc.",10.89,102411193.5,"n/a",1992,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/fco"
"IF","Aberdeen Indonesia Fund, Inc.",9.31,88307649.57,"n/a",1990,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/if"
"ISL","Aberdeen Israel Fund, Inc.",18.054,75284114.814,"n/a",1992,"FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/isl"
"ACU","Acme United Corporation.",16.12,51601764.24,"n/a",1988,"Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu"
"ATNM","Actinium Pharmaceuticals, Inc.",10.9,276042260.2,"n/a","n/a","FUNDTRUST","FUNDRUST","http://www.nasdaq.com/symbol/atnm"
"AE","Adams Resources & Energy, Inc.",58.5,246729366,"n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae"
"ADK","Adcare Health Systems Inc",4.16,65593403.2,"n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk"
"API","Advanced Photonix, Inc.",0.61,19056851.4,"n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/api"
